week,metric,count_7d,count_prior_7d,delta_pct,source,note
2026-W32,empty_handle_turns,143,,,chat_match_events,baseline 2026-08-07 (router_skipped=false AND matched_handles empty)
2026-W32,classifier_catchable_share_pct,73,,,manual categorisation,headline metric — should fall run over run
2026-W32,routing_miss_share_pct,8,,,manual categorisation,content exists but not found — best fix target
2026-W32,router_latency_median_ms,1615,,,chat_match_events,baseline 2026-08-07
2026-W32,router_latency_p90_ms,3063,,,chat_match_events,baseline 2026-08-07
2026-W32,router_cache_hit_rate_pct,39,,,chat_match_events,baseline 2026-08-07
2026-W33,empty_handle_turns,27,5,,chat_match_events,"prior-7d not comparable: YT persistence + classifier both live 08-07; split shopify 3 / youtube 24 / discord 0"
2026-W33,classifier_catchable_share_pct,4,73,-95,manual categorisation,"1/27 (PRODUCT); ~5 YT rants catchable only if bot should stop replying to them (product call)"
2026-W33,routing_miss_share_pct,7,8,-13,manual categorisation,"2/27: MSM (pre-08-07-fix, passes today) + statin-cognition (edit attempted, no gain, reverted)"
2026-W33,router_errors_7d,3,0,,chat_match_events,"all three: >3 handles -> Zod .max(3) rejects all; fix proposed W33 report"
2026-W33,router_latency_median_ms,1362,1615,-16,chat_match_events,n=53
2026-W33,router_latency_p90_ms,2217,3063,-28,chat_match_events,n=53
2026-W33,router_cache_hit_rate_pct,20,39,-49,chat_match_events,"likely mix-shift: YT one-shot turns; watch W34"
2026-W34,empty_handle_turns,40,26,54,chat_match_events,"prior-7d slice measured this run (08-15 run never fired); 13d window total 58: shopify 5 / youtube 53 / discord 0"
2026-W34,classifier_catchable_share_pct,2.5,4,-38,manual categorisation,"1/40 7d (bare fragment 'female'); 13d 1/58 (1.7%)"
2026-W34,routing_miss_share_pct,2.5,7,-64,manual categorisation,"1/40 7d (ECA — passes harness at baseline, stochastic); 13d adds K2-clotting (claim-shaped, summary-unfixable)"
2026-W34,router_errors_7d,1,1,0,chat_match_events,"1 transient JSON malformation each slice; zero .max(3) rejections in 13d (W33: 3/7d, all .max(3)) — consistent with the W33 slice fix being live"
2026-W34,router_latency_median_ms,1459,1362,7,chat_match_events,"n=82; prior = W33 window (not adjacent slice — run gap)"
2026-W34,router_latency_p90_ms,1993,2217,-10,chat_match_events,n=82
2026-W34,router_cache_hit_rate_pct,34,20,70,chat_match_events,"recovered toward W32's 39%; W33 mix-shift hypothesis holds"
2026-W34,yt_reply_median_words,66.5,84,-21,chat_messages,"7d n=74; 13d median 67 (n=135); prior = 2026-08-10 baseline; prompt cap ≤90 words"
2026-W34,yt_reply_gt90w_count_7d,4,,,chat_messages,"4/74 (5.4%) breach >90 words; 13d 8/135, max 123; >5-sentence breaches 0 in 7d"
2026-W35,empty_handle_turns,38,40,-5,chat_match_events,"prior = W34 published count_7d; re-measure of that slice returned 39 (boundary off-by-one, tolerated); split shopify 3 / youtube 35 / discord 0"
2026-W35,classifier_catchable_share_pct,0,2.5,-100,manual categorisation,"0/38 — first zero week; classifier skipped 142 turns upstream (GREETING 121 / PRODUCT 11 / ACCOUNT 6 / MEASUREMENT 4)"
2026-W35,routing_miss_share_pct,13.2,2.5,428,manual categorisation,"5/38: 1 stochastic (testosterone — passes 3/3 at baseline) + 4 consistent ∅ 3/3 (tirzepatide-company, KCl-brand, salt-ratio, lithium-test — practical/consumer shape, measured via shape probe; 2 of the 4 surfaced by adversarial review)"
2026-W35,router_errors_7d,0,1,-100,chat_match_events,clean week; fallbacks also 0
2026-W35,router_latency_median_ms,1322,1459,-9,chat_match_events,n=82
2026-W35,router_latency_p90_ms,1861,1993,-7,chat_match_events,n=82
2026-W35,router_cache_hit_rate_pct,27,34,-21,chat_match_events,"22/82; below W32's 39% baseline again — watch"
2026-W35,yt_reply_median_words,67,66.5,1,chat_messages,"n=77; prompt cap ≤90 words holding"
2026-W35,yt_reply_gt90w_count_7d,4,4,0,chat_messages,"4/77 (5.2%), max 104; >5-sentence breaches 1"
2026-W36,empty_handle_turns,17,38,-55,chat_match_events,"prior slice re-measured 38 = published (no boundary drift); split shopify 1 / youtube 12 / discord 4; total match events 93 (YouTube ebb, cf product-health W36)"
2026-W36,classifier_catchable_share_pct,0,0,0,manual categorisation,"0/17 — second consecutive zero week; classifier skipped 51 upstream (GREETING 39 / PRODUCT 5 / MEASUREMENT 4 / ACCOUNT 3)"
2026-W36,routing_miss_share_pct,35.3,13.2,167,manual categorisation,"6/17: Lp(a) x2 (discord), K2 x3 (new cardiologists-K2 video), tirzepatide-start (web); every one consistent at baseline (∅ 3/3 or steal 3/3), 0 stochastic — first week with no noise in the miss bucket"
2026-W36,router_errors_7d,0,0,0,chat_match_events,second clean week; fallbacks also 0
2026-W36,router_latency_median_ms,1494,1322,13,chat_match_events,n=42
2026-W36,router_latency_p90_ms,1920,1861,3,chat_match_events,n=42
2026-W36,router_cache_hit_rate_pct,31,27,15,chat_match_events,13/42
2026-W36,yt_reply_median_words,70,67,4,chat_messages,"n=27 incl 3 SKIP_NO_REPLY sentinel rows stored as 1-word assistant messages; excluding sentinels median 74.5 (n=24); cap ≤90 holding"
2026-W36,yt_reply_gt90w_count_7d,2,4,-50,chat_messages,"2/27 (7.4%), max 123; >5-sentence breaches 0"
